Temperature,Magnetization,Energy,Susceptibility,SpecificHeat,BinderCumulant
1.000000e+00,9.992847e-01,-1.934973e+00,-4.272461e-04,3.574219e-01,6.666664e-01
1.100000e+00,9.984478e-01,-1.931525e+00,-1.553622e-03,5.701995e-01,6.666660e-01
1.200000e+00,9.970264e-01,-1.926665e+00,-5.035400e-03,8.429633e-01,6.666613e-01
1.300000e+00,9.948114e-01,-1.918997e+00,-1.178448e-02,1.176498e+00,6.666453e-01
1.400000e+00,9.913509e-01,-1.906273e+00,-1.416887e-02,1.592519e+00,6.666154e-01
1.500000e+00,9.864476e-01,-1.889282e+00,3.255208e-04,2.095160e+00,6.665848e-01
1.600000e+00,9.795084e-01,-1.866987e+00,3.658294e-02,2.610206e+00,6.665550e-01
1.700000e+00,9.699076e-01,-1.837542e+00,7.744283e-02,3.228822e+00,6.665041e-01
1.800000e+00,9.568090e-01,-1.801247e+00,1.219347e-01,3.844611e+00,6.663902e-01
1.900000e+00,9.381109e-01,-1.752941e+00,2.083226e-01,4.394868e+00,6.661367e-01
2.000000e+00,9.112738e-01,-1.692709e+00,3.956909e-01,5.000731e+00,6.654971e-01
2.100000e+00,8.689309e-01,-1.612728e+00,9.397379e-01,5.385708e+00,6.635536e-01
2.200000e+00,7.855135e-01,-1.496796e+00,4.255010e+00,6.060236e+00,6.527894e-01
2.300000e+00,5.692388e-01,-1.333526e+00,1.868633e+01,6.367201e+00,5.688320e-01
2.400000e+00,3.127207e-01,-1.175567e+00,1.591524e+01,5.473244e+00,3.341491e-01
2.500000e+00,2.017160e-01,-1.071919e+00,8.414903e+00,4.867423e+00,1.537333e-01
2.600000e+00,1.530148e-01,-9.974014e-01,4.864604e+00,4.495430e+00,9.361148e-02
2.700000e+00,1.237447e-01,-9.338842e-01,3.161191e+00,4.203700e+00,7.481498e-02
2.799999e+00,1.058133e-01,-8.801365e-01,2.260934e+00,3.937049e+00,4.368097e-02
2.899999e+00,9.354004e-02,-8.335730e-01,1.751948e+00,3.690902e+00,1.245511e-02
2.999999e+00,8.580527e-02,-7.907867e-01,1.375442e+00,3.587811e+00,5.034119e-02
