Temperature,Magnetization,Energy,Susceptibility,SpecificHeat,BinderCumulant
1.000000e+00,9.992728e-01,-1.981584e+00,1.352539e+00,-8.671875e-01,6.666993e-01
1.100000e+00,9.984498e-01,-1.978394e+00,1.057351e+00,1.162190e-01,6.667041e-01
1.200000e+00,9.970223e-01,-1.973100e+00,9.187825e-01,8.110894e-01,6.667122e-01
1.300000e+00,9.947705e-01,-1.964928e+00,5.987079e-01,1.285133e+00,6.667097e-01
1.400000e+00,9.913762e-01,-1.952473e+00,2.015904e-01,1.528619e+00,6.666719e-01
1.500000e+00,9.864913e-01,-1.935839e+00,-1.282552e-01,1.967013e+00,6.666527e-01
1.600000e+00,9.796414e-01,-1.913398e+00,2.014160e-02,2.607727e+00,6.666586e-01
1.700000e+00,9.700540e-01,-1.883481e+00,1.022518e-01,3.104725e+00,6.666567e-01
1.800000e+00,9.568110e-01,-1.844688e+00,1.361762e-01,3.821855e+00,6.666495e-01
1.900000e+00,9.382138e-01,-1.795130e+00,2.354029e-01,4.424558e+00,6.666337e-01
2.000000e+00,9.112974e-01,-1.732082e+00,3.857421e-01,4.916015e+00,6.665906e-01
2.100000e+00,8.688056e-01,-1.649350e+00,9.807477e-01,5.562641e+00,6.664505e-01
2.200000e+00,7.847125e-01,-1.534642e+00,5.083008e+00,6.040967e+00,6.652443e-01
2.300000e+00,2.625522e-01,-1.334632e+00,1.878849e+02,6.516940e+00,3.319650e-01
2.400000e+00,7.832516e-02,-1.195123e+00,2.347501e+01,5.297174e+00,1.492310e-02
2.500000e+00,4.964073e-02,-1.097692e+00,9.003325e+00,4.889688e+00,1.862901e-02
2.600000e+00,3.682134e-02,-1.020523e+00,4.874137e+00,4.567020e+00,1.211399e-02
2.700000e+00,3.052981e-02,-9.560960e-01,3.249833e+00,4.342958e+00,-1.944065e-03
2.799999e+00,2.645397e-02,-9.016888e-01,2.323370e+00,3.974636e+00,1.674426e-02
2.899999e+00,2.317117e-02,-8.536150e-01,1.748860e+00,3.758084e+00,-1.801062e-02
2.999999e+00,2.109857e-02,-8.103792e-01,1.354276e+00,3.590822e+00,1.927048e-02
