Temperature,Magnetization,Energy,Susceptibility,SpecificHeat,BinderCumulant
1.000000e+00,9.992876e-01,-1.965993e+00,-9.375000e-02,1.132812e-01,6.666673e-01
1.100000e+00,9.984440e-01,-1.962840e+00,-2.663352e-03,5.221785e-01,6.666691e-01
1.200000e+00,9.970252e-01,-1.957579e+00,-3.112793e-02,9.182400e-01,6.666723e-01
1.300000e+00,9.947901e-01,-1.949523e+00,-6.817157e-02,1.160896e+00,6.666651e-01
1.400000e+00,9.913726e-01,-1.937270e+00,-1.346261e-01,1.666135e+00,6.666263e-01
1.500000e+00,9.865012e-01,-1.920962e+00,-1.337890e-01,2.061198e+00,6.666102e-01
1.600000e+00,9.796176e-01,-1.898021e+00,2.105713e-02,2.656173e+00,6.666371e-01
1.700000e+00,9.701183e-01,-1.869398e+00,8.789062e-02,3.121282e+00,6.666347e-01
1.800000e+00,9.568442e-01,-1.830954e+00,1.078288e-01,3.758258e+00,6.665913e-01
1.900000e+00,9.383508e-01,-1.780854e+00,1.985248e-01,4.400482e+00,6.665331e-01
2.000000e+00,9.113592e-01,-1.718452e+00,4.012451e-01,4.856688e+00,6.663758e-01
2.100000e+00,8.688153e-01,-1.635698e+00,9.520321e-01,5.403645e+00,6.658489e-01
2.200000e+00,7.865376e-01,-1.522561e+00,4.254261e+00,6.081522e+00,6.622151e-01
2.300000e+00,4.368384e-01,-1.334745e+00,6.929353e+01,6.354764e+00,5.088751e-01
2.400000e+00,1.589798e-01,-1.187765e+00,2.192827e+01,5.373553e+00,1.306623e-01
2.500000e+00,9.854053e-02,-1.087827e+00,8.878828e+00,4.861876e+00,1.636314e-02
2.600000e+00,7.456762e-02,-1.011431e+00,4.969011e+00,4.563625e+00,3.903431e-02
2.700000e+00,6.161270e-02,-9.483188e-01,3.204268e+00,4.212783e+00,2.217799e-02
2.799999e+00,5.264922e-02,-8.935670e-01,2.302632e+00,3.967193e+00,1.335305e-02
2.899999e+00,4.652285e-02,-8.470312e-01,1.754938e+00,3.744991e+00,-2.119422e-03
2.999999e+00,4.292358e-02,-8.044748e-01,1.390584e+00,3.551325e+00,2.305961e-02
